codigo_sucursal,nombre_sucursal
"000003","MD GANGAS ESPAÃ‘A"
"000004","MD METRO IV"
"000007","MD GANGAS COJUTEPEQUE"
"000008","MD METRO II"
"000012","MD DARIO I"
"000014","MD DARIO III"
"000015","MD METRO III"
"000019","MD METRO S MIGUEL II"
"000020","MD METRO SANTA ANA I"
"000021","MD MERLIOT I"
"000022","MD MERLIOT II"
"000029","MD CENTRO S MIGUEL II"
"000030","MD DARIO II"
"000033","MD ZACATECOLUCA"
"000040","MD GALERIAS ESCALON"
"000044","MD SONSONATE I"
"000056","MD LOURDES I"
"000057","EB USULUTAN"
"000068","MD METROSUR I"
"000069","MD SANTA TECLA"
"000071","MD APOPA PERI-PZA"
"000073","PUMA MULTIPLAZA I"
"000074","MD MULTIPLAZA"
"000080","MD PLAZA  MUNDO I"
"000081","MD PLAZA MUNDO II"
"000087","MD CENTRO S MIGUEL I"
"000082","MD AHUACHAPAN I"
"000065","MD PLAZA MUNDO III"
"000060","PUMA METRO I"
"000036","MAYOREO A"
"000039","MD CHALATENANGO I"
"000088","PUMA METRO S/MIGUEL I"
"000090","MD SANTA ROSA DE LIMA"
"000091","PUMA GALERIAS I"
"000101","MD PLAZA MUNDO IV"
"000104","DEBOUT MULTIPLAZA"
"000106","MD SAN VICENTE CENTRO I"
"000108","MD USULUTAN CENTRO 1"
"000114","MD SENSUNTEPEQUE"
"000115","MD METAPAN CENTRO 1"
"000119","MD COJUTEPEQUE II"
"000116","DEBOUT METROCENTRO SANTA ANA"
"000117","MD UNICENTRO SOYAPANGO"
"000123","MD PLAZA"
"000120","DEBOUT GALERIAS"
"000126","MD EN LINEA"
"000129","PUMA METROCENTRO SANTA ANA"
"000127","MD ALTAVISTA"
"000130","MD PLAZA MUNDO APOPA"
"000131","MD SONSONATE METRO 2"
"000132","MD METROCENTRO LOURDES 2"
"000133","MD METRO VII"
"000134","MD SAN MIGUEL EL ENCUENTRO"
